1450,112,0,4
1450,112,30,3
1450,112,44,1.7
1450,120,0,4.6
1450,120,30,3.8
1450,120,48,2.1
1450,130,0,5.4
1450,130,30,4.8
1450,130,51,2.8
1450,142,0,6.4
1450,142,30,5.8
1450,142,55,3.5
2900,112,0,15.9
2900,112,40,14.1
2900,112,85,8
2900,120,0,18.1
2900,120,40,17
2900,120,90,11.9
2900,130,0,21.8
2900,130,40,20.2
2900,130,110,14
2900,142,0,25.9
2900,142,40,24.5
2900,142,110,14
960,112,0,1.75
960,112,20,1.3
960,112,29,0.7
960,120,0,2
960,120,20,1.65
960,120,31,0.95
960,130,0,2.39
960,130,20,2.1
960,130,33.8,1.22
960,142,0,2.81
960,142,20,2.5
